Street,Location_Id,City,State_Id,State
North Atherton Street,1,Baton Rouge,TN,Utah
Tully Road East,2,Denver,IL,Ohio
French Camp Turnpike Road,3,Helena,CT,New Hampshire
East 1st Street,4,Bismarck,AR,South Carolina
Erringer Road,5,Cheyenne,DE,Wyoming
Camelback Rd,6,Denver,KS,Texas
Redwood Highway,7,Montgomery,MN,Hawaii
Santa Rosa North,8,Jefferson City,FL,Washington
North Broadway Street,9,Trenton,SD,Mississippi
Lawrenceville Suwanee,10,Salt Lake City,SD,Virginia
San Diego Freeway,11,Boise,LA,Mississippi
Santa Ana Freeway,12,Harrisburg,NY,Arkansas
North Erringer Road,13,Harrisburg,CA,Georgia
East Main Street,14,Charleston,OH,South Dakota
El Camino Real,15,Trenton,DE,Montana
South Roosevelt Drive,16,Harrisburg,UT,Massachusetts
North Broadway Street,17,Oklahoma City,MN,Illinois
South Roosevelt Drive,18,Carson City,RI,Rhode Island
Fontaine Road,19,Phoenix,MI,Pennsylvania
Monroe Street,20,Indianapolis,HI,Texas
South Roosevelt Drive,21,Helena,SD,Minnesota
Camelback Rd,22,Boston,IL,Vermont
Bayshore Freeway,23,Madison,UT,South Dakota
North Erringer Road,24,Jefferson City,LA,Vermont
Santa Monica Road,25,Harrisburg,NH,Delaware
Fairview Avenue,26,Topeka,NH,Minnesota
Carpinteria Avenue,27,Concord,FL,Connecticut
San Simeon,28,Augusta,SC,Arizona
Via Real,29,Juneau,DE,Nevada
Via Real,30,Atlanta,SD,North Dakota
Katella Avenue,31,Juneau,KY,Indiana
San Marcos,32,Pierre,IL,New York
Calle Real,33,Trenton,ID,Oklahoma
East Main Street,34,Indianapolis,ME,Alaska
Castillo Drive,35,Topeka,AL,Virginia
San Marcos,36,Springfield,MA,Tennessee
Harry S Truman Blvd,37,Lincoln,KS,Vermont
Bayshore Freeway,38,Hartford,AL,Mississippi
North Ventu Park Road,39,Little Rock,WV,North Carolina
San Diego Freeway,40,Trenton,KS,Utah
Steele Lane,41,Salem,MT,Nebraska
Redwood Highway,42,Austin,CA,Kentucky
N Harrison St,43,Pierre,NC,Wyoming
Lawrenceville Suwanee,44,Honolulu,MS,South Dakota
Moreno Drive,45,Concord,AR,Colorado
N Harrison St,46,Saint Paul,SC,Hawaii
Harbor Dr,47,Phoenix,ME,New York
Via Real,48,Denver,WI,West Virginia
San Marcos,49,Madison,NE,New Hampshire
East 1st Street,50,Concord,PA,Virginia
Timberlane Drive,51,Bismarck,MT,New Jersey
Castillo Drive,52,Lincoln,NY,Connecticut
South Roosevelt Drive,53,Denver,MN,Nevada
East Calle Primera,54,Lincoln,AR,Maryland
Pacific Hwy S,55,Bismarck,MT,Iowa
Grandview Drive,56,Madison,ME,Minnesota
Pacific Hwy S,57,Harrisburg,LA,Connecticut
Santa Rosa South,58,Des Moines,NM,Oregon
Santa Rosa South,59,Frankfort,GA,Delaware
South Roosevelt Drive,60,Saint Paul,CO,Illinois
Santa Rosa North,61,Dover,CT,Massachusetts
Bailard Avenue,62,Raleigh,VT,Alaska
Lake Tahoe Blvd.,63,Montpelier,RI,Washington
Cleveland Ave.,64,Austin,NY,Wisconsin
South Highway,65,Salt Lake City,SD,Hawaii
North Ventu Park Road,66,Pierre,IA,Louisiana
Tanger Blvd,67,Austin,UT,Alaska
Monroe Street,68,Jefferson City,MI,Pennsylvania
N Harrison St,69,Albany,NE,Idaho
Timberlane Drive,70,Juneau,ID,South Carolina
Pacific Hwy S,71,Salt Lake City,PA,Louisiana
Timberlane Drive,72,Honolulu,CO,Indiana
Westside Freeway,73,Santa Fe,NM,Ohio
Tanger Blvd,74,Phoenix,AL,Colorado
North Broadway Street,75,Harrisburg,MT,Rhode Island
San Ysidro Blvd,76,Raleigh,WI,North Carolina
Cerrillos Road,77,Cheyenne,IA,Virginia
Fontaine Road,78,Austin,MD,Oregon
Erringer Road,79,Lansing,WA,Washington
North Preisker Lane,80,Bismarck,TN,Missouri
East Calle Primera,81,Lansing,VT,Oregon
Lake Tahoe Blvd.,82,Jackson,ME,New Mexico
South Highway,83,Pierre,TX,Georgia
Padre Boulevard,84,Little Rock,MT,New Jersey
Cerrillos Road,85,Juneau,NH,Montana
Greenwood Road,86,Nashville,MN,Oklahoma
Bayshore Freeway,87,Jefferson City,LA,Tennessee
Jean de la Fontaine,88,Providence,UT,Tennessee
Bowles Avenue,89,Jackson,WY,Maryland
E Fowler Avenue,90,Albany,OK,Kansas
Moreno Drive,91,Jefferson City,GA,New Hampshire
